qa_id,question,golden_answer,agent_id,expected_chunks,difficulty_level,source_domain,created_at
qa_001,Qual método para calcular golpe de aríete em adutoras pressurizadas?,"Usar fórmula de Joukowsky: ΔH = (a/g) × Δv, onde 'a' é celeridade (1200-1400 m/s em PVC), 'g' gravidade, 'Δv' mudança de velocidade. Alternativa: método das características para transientes hidráulicos.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,hard,hydraulics,2026-07-25T00:46:04.901918+00:00
qa_002,Como dimensionar uma ETA de ciclo completo para 150 mil habitantes?,"ETA de ciclo completo inclui coagulação, floculação, decantação, filtração e desinfecção. Para 150k hab com consumo de 200 L/hab.dia, considera taxas de floculação hidráulica 400-600 m³/m².dia e decantação 40-60 m³/m².dia.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,medium,water_treatment,2026-07-25T00:46:04.901955+00:00
qa_003,O que é subsídio cruzado na Lei 14.026 de saneamento?,Subsídio cruzado: arrecadação em cliente classe A (alta renda) subsidia cliente classe C (baixa renda) para universalização de 99% água e 90% esgoto até 2033. Tarifa social obrigatória.,agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,easy,regulation,2026-07-25T00:46:04.901961+00:00
qa_004,Como dimensionar um reservatório de retenção para drenagem urbana?,"Volume = (i × A × (Tr/3600)) - (C × Tr), onde i é intensidade chuva (mm/h), A área drenagem (m²), Tr período retorno (s), C vazão de saída (m³/s). Método racional ou hidrograma unitário.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,hard,stormwater,2026-07-25T00:46:04.901965+00:00
qa_005,Qual a diferença entre EPANET e SWMM para modelagem de redes de água?,"EPANET: redes pressurizadas de distribuição de água, análise de qualidade e vazão. SWMM: drenagem urbana e escoamento superficial, simulação de chuva-vazão.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,easy,software,2026-07-25T00:46:04.901968+00:00
qa_006,Como avaliar a colmatação de filtro de areias em ETA?,"Monitorar perda de carga (manômetro diferencial), velocidade de filtração (taxa aplicação), qualidade turbidez efluente. Retrolavagem quando ΔP > 1.5-2.0 m ou turbidez > 1 UNT.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,medium,water_treatment,2026-07-25T00:46:04.901972+00:00
qa_007,O que significa RAP no contexto de concessões de saneamento?,"RAP = Remuneração por Aumento de Qualidade ou Receita, conforme regulação. Mecanismo para remunerar investimentos de melhoria (eficiência, qualidade, universalização).",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,easy,regulation,2026-07-25T00:46:04.901975+00:00
qa_008,AySA me pediu um estudo de reabilitação da Planta Norte. Por onde começar?,"Diagnóstico de capacidade atual (ETE primária vs secundária), teste de eficiência de remoção de carga (DBO, DQO), avaliação de lodo, definição de tecnologia nova (UASB, MBR, lodo ativado).",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,medium,wastewater_argentina,2026-07-25T00:46:04.901982+00:00
qa_009,Qual é o método para dimensionar rede coletora de esgoto pela NBR 9649?,"NBR 9649 estabelece: diâmetro mínimo 100mm, declividade mínima 0.5% (esgoto doméstico), velocidade mín 0.6 m/s, máx 3 m/s, profundidade máx 5.5m. Usar fórmula de Manning para verificação.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,medium,sewerage_design,2026-07-25T00:46:04.901991+00:00
qa_010,Como calcular a altura manométrica de uma estação elevatória?,"Hm = Hg + ΔH, onde Hg é altura geométrica (sucção + recalque) e ΔH são perdas de carga. Verificar NPSH disponível >= NPSH requerido da bomba. Sobre-elevação típica 10-20%.",agente-saneamento,chunk_saneamento_1;chunk_saneamento_2;chunk_saneamento_3,medium,hydraulics,2026-07-25T00:46:04.901995+00:00
