Dispositivo,Especificacao_Convencional,Custo_Unit_Conv,Especificacao_Alternativa,Custo_Unit_Alt,Reducao_Custo_%,Beneficio_Seguranca,Beneficio_Manutencao_30a,ROI_30anos_%,Prazo_Implementacao,Risco_Tecnico,Recomendacao
Guardrail_Defensa,W-beam_aço_galvanizado,1150_R_m,Guardrail_High-Strength,950_R_m,-17%,Mesma,+8%_menos_corrosao,280%,3_meses,Baixo,Imediato
Barreira_Rigida,Concreto_fundido_in_situ,1200_R_m,Concreto_pré_moldado,850_R_m,-29%,Mesma,+12%_instalacao_rapida,340%,6_meses,Baixo,Imediato
Defensa_Metalica_Alternativa,Aço_galvanizado_padrao,900_R_m,RAP_+_Fly_Ash_composite,540_R_m,-40%,+10%_menor_impacto,+28%_ciclo_vida,450%,6_meses,Médio,Médio_Prazo
WPC_Wood_Plastic_Composite,Aço_galvanizado,900_R_m,HDPE_reciclado,495_R_m,-45%,Mesma,+45%_ciclo_vida,520%,9_meses,Médio,Médio_Prazo
Sinal_Vertical_0_6m,Retrorreflexivo_passivo,650_R_un,LED_retroreflexivo,420_R_un,-35%,+20%_visibilidade_noturna,-60%_manutencao_OPEX,380%,4_meses,Baixo,Imediato
Sinal_Vertical_1_2m,Retrorreflexivo_passivo,1800_R_un,LED_inteligente_IoT,980_R_un,-45%,+30%_visibilidade,+40%_monitoramento_trafego,520%,6_meses,Médio,Médio_Prazo
Marcacao_Horizontal_Tinta,Tinta_acrílica_padrao,30_R_m,Termoplástico_reciclado,45_R_m,+50%,Mesma,-10%_duracao,150%,3_meses,Baixo,Nao_Recomendado
Marcacao_Horizontal_Termoplastico,Termoplástico_virgem,70_R_m,Termoplástico_reciclado,45_R_m,-36%,Mesma,Mesma,220%,4_meses,Baixo,Recomendado
Cilindro_Delimitador,Plástico_virgem_colorido,150_R_un,Plástico_reciclado_reutilizavel,85_R_un,-43%,+5%_visibilidade,+50%_duracao,380%,2_meses,Baixo,Imediato
Cone_Seguranca,Plástico_simples,120_R_un,PVC_antistático_reciclado,65_R_un,-46%,Mesma,+35%_duracao_UV,360%,2_meses,Baixo,Imediato
Atenuador_Impacto_TMA,Trinity_TMA_Quad,45000_R_un,Energy_Absorption_Systems_EMAS,38000_R_un,-16%,Mesma_absorpcao,+12%_reutilizacao,240%,8_meses,Baixo,Médio_Prazo
Projeto_Diamond,Diamond_convencional_100m,45_M,Diamond_otimizado_NSGA_II_60m,38_M,-16%,Mesma_seguranca,+8%_OPEX,320%,12_meses,Médio,Médio_Prazo
Projeto_Roundabout,Roundabout_80m_diametro,35_M,Roundabout_compacto_60m,27_M,-23%,Mesma_acidentes,+5%_fluxo,380%,10_meses,Médio,Médio_Prazo
Projeto_PARCLO,PARCLO_convencional,55_M,PARCLO_otimizado_redução_tecelagem,44_M,-20%,+8%_seguranca_tecelagem,+10%_OPEX,400%,14_meses,Médio,Médio_Prazo
Projeto_T_Y_Simples,T_Y_simples_sem_separacao,12_M,T_Y_com_rotatoria_auxiliar,18_M,+50%,-30%_acidentes,+15%_fluxo,-150%,6_meses,Baixo,Nao_Recomendado_custo_elevado
Drenagem_Superficial,Canaleta_concreto,2.5_M_km,Drenagem_permeavel_eco,2.1_M_km,-16%,+25%_qualidade_agua,+20%_ciclo_vida,280%,8_meses,Médio,Médio_Prazo
Iluminacao_LED,LED_convencional_fixture,8500_R_un,LED_smart_IoT_solar,12000_R_un,+41%,+40%_seguranca,+65%_economia_OPEX,-180%,12_meses,Alto,Planejamento_Longo_Prazo
Sensor_IoT_Monitoramento,Sem_sensor,0_R_km,Sensor_saude_estrutural_500m,15000_R_km,N/A,+60%_manutencao_preditiva,+68%_economia_OPEX_30a,520%,18_meses,Médio,Longo_Prazo
Pavimentacao_Base,Brita_compactada,0.8_M_km,RAP_reciclado_estabilizado,0.48_M_km,-40%,Mesma,-35%_manutencao,450%,6_meses,Médio,Médio_Prazo
Pavimentacao_CBUQ,CBUQ_virgem_padrao,2.2_M_km,CBUQ_com_RAP_50_percent,1.32_M_km,-40%,Mesma,-35%_fadiga,450%,6_meses,Médio,Médio_Prazo
Acostamento,Pavimentado_CBUQ,1.5_M_km,Pavimentado_permavel_drenante,1.2_M_km,-20%,+15%_drenagem_urbana,-25%_manutencao,320%,6_meses,Médio,Médio_Prazo
Projeto_Integrado_1km_Rodovia_Dupla,Especificacao_Standard_DNIT,15_M,Design_Otimizado_+_Materiais_Alt,8.5_M,-43%,+30%_seguranca_integrada,+40%_OPEX,550%,18_meses,Médio,Recomendado_PILOTO
