id,titulo,autor,ano,instituicao,programa,orientador,nivel,segmento,doi,url_publico,sp_path,palavras_chave,qualis,status
seed-silva-2019-dragagem,Metodologia para dimensionamento de dragagem de manutenção em terminais graneleiros,Silva J. M.,2019,USP,POLI Engenharia de Transportes,Prof. Dr. A. Ribeiro,doutorado,portos,,,SEED-VALIDATION,dragagem;calado;terminal graneleiro;ANTAQ,A2,ativo
seed-costa-2022-santos,Manutenção do canal de acesso ao Porto de Santos: 10 anos de dados operacionais,Costa R. F.,2022,COPPE/UFRJ,Engenharia Oceânica,Prof. Dr. M. Aliaga,mestrado,portos,,,SEED-VALIDATION,Porto de Santos;dragagem;assoreamento;PIANC 158,A2,ativo
seed-pereira-2021-aerodromos,Aeródromos regionais brasileiros: dimensionamento estatístico da pista,Pereira L. C.,2021,COPPE/UFRJ,Engenharia de Transportes,Prof. Dr. M. Souza,mestrado,aeroportos,,,SEED-VALIDATION,aeródromo regional;RBAC 154;ICAO Annex 14;FCL,,ativo
seed-oliveira-2023-pcn,Determinação do PCN via FAARFIELD para pátios de aeronave crítica ATR 72-600,Oliveira P. S.,2023,USP,Engenharia Aeronáutica,Prof. Dr. C. Vieira,doutorado,aeroportos,,,SEED-VALIDATION,PCN;ACN;FAARFIELD;pavimento aeroportuário,A3,ativo
seed-rodriguez-2020-reuso,Modelo de reúso de água urbana para AySA (Área Metropolitana de Buenos Aires),Rodríguez A. L.,2020,UBA,Ingeniería Sanitaria,Prof. Dr. F. Storani,doutorado,saneamento,,,SEED-VALIDATION,reúso;AySA;PIRHA;NBR 13969,A2,ativo
seed-lima-2024-uasb,Reator UASB modificado com pós-tratamento por bio-óleo: eficiência de remoção de DQO,Lima E. M.,2024,UFPE,Engenharia Civil,Prof. Dr. J. Kato,doutorado,saneamento,,,SEED-VALIDATION,UASB;bio-óleo;DQO;esgoto sanitário,A1,ativo
seed-santos-2018-acsr,Ampacidade dinâmica de condutores ACSR: revisão da IEEE Std 738,Santos G. B.,2018,USP,POLI Engenharia Elétrica,Prof. Dr. R. Zanetta,doutorado,energia,,,SEED-VALIDATION,ACSR;ampacidade;IEEE 738;LT 500kV,A1,ativo
seed-carvalho-2023-hvdc,HVDC Xingu-Estreito: análise operacional de perdas em bipolo de 800 kV,Carvalho D. A.,2023,Unicamp,FEEC Sistemas de Energia,Prof. Dr. W. Cavalcanti,mestrado,energia,,,SEED-VALIDATION,HVDC;Xingu-Estreito;bipolo 800kV;State Grid,A2,ativo
seed-fernandes-2020-drystack,Disposição de rejeitos por empilhamento a seco (dry stack): estudo em ferro,Fernandes M. R.,2020,USP,Engenharia de Minas,Prof. Dr. E. Kondo,doutorado,barragens,,,SEED-VALIDATION,dry stack;rejeitos filtrados;ICOLD 194;ferro,A1,ativo
seed-mendes-2022-alteamento,Crítica ao alteamento a montante em barragens de rejeitos pós-Brumadinho,Mendes T. C.,2022,UFOP,Escola de Minas Geotecnia,Prof. Dr. R. Gomes,doutorado,barragens,,,SEED-VALIDATION,alteamento montante;Brumadinho;PNSB;Lei 14.066,A1,ativo
