fonte_id,nome,instituicao,camada,entrega,setores,pais,periodicidade,licenca,verificacao,url,como_acessar,notas
F-001,PAIC - Pesquisa Anual da Industria da Construcao,IBGE,1,coeficiente_fisico,todos,BR,anual,publico,snippet_busca,https://www.ibge.gov.br/estatisticas/economicas/industria/9018-pesquisa-anual-da-industria-da-construcao.html,Portal IBGE e tabelas no SIDRA,"FONTE MAIS IMPORTANTE DO PROJETO. Valor das obras + pessoal ocupado + ESTRUTURA DE CUSTOS E DESPESAS por CNAE. Estrutura obtida: 2022 = 48,3% pessoal / 37,4% materiais / 14,3% terceiros; 2023 = 49,0 / 35,9 / 15,1. Ambas somam 100%. Numeros vieram de snippet de busca; egress bloqueou o PDF, o SIDRA e a API servicodados."
F-002,Matriz de Insumo-Produto,IBGE,1,coeficiente_fisico,todos,BR,quinquenal,publico,catalogada_nao_verificada,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais.html,Portal IBGE,Coeficiente tecnico de aco cimento e aluguel de maquinas por unidade de producao da construcao. Rota mais direta para intensidade fisica.
F-003,Sistema de Contas Nacionais - FBCF em construcao,IBGE,1,indice_macro,todos,BR,anual,publico,catalogada_nao_verificada,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais.html,Portal IBGE,Denominador macro alternativo ao valor das obras da PAIC.
F-004,SIDRA - Sistema IBGE de Recuperacao Automatica,IBGE,1,coeficiente_fisico,todos,BR,continua,publico,catalogada_nao_verificada,https://sidra.ibge.gov.br/pesquisa/paic/tabelas,Consulta parametrizada por agregado,"TABELA 1761 e a da PAIC por classe CNAE (nao 1757, como se supunha). E o desbloqueio de S6/S10 (42.91-0), S8 (42.22-7) e S9 (42.21-9). Egress bloqueado nesta sessao."
F-005,IPP - Indice de Precos ao Produtor,IBGE,1,indice_macro,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.ibge.gov.br/estatisticas/economicas/precos-e-custos.html,Portal IBGE,Deflator de insumos industriais.
F-006,SINAPI,Caixa Economica Federal e IBGE,1,coeficiente_fisico,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.caixa.gov.br/poder-publico/modernizacao-gestao/sinapi/,Portal Caixa - cadernos de composicoes,Composicoes com coeficiente explicito. Embute perda de material.
F-007,CNAE 2.0 - CONCLA,IBGE,1,metodologia,todos,BR,eventual,publico,snippet_busca,https://concla.ibge.gov.br/busca-online-cnae.html,Portal CONCLA,Tabela oficial de classificacao. Egress bloqueado; codigos aqui vieram de snippet e precisam conferencia.
F-008,Novo CAGED,Ministerio do Trabalho e Emprego,1,coeficiente_fisico,todos,BR,mensal,publico,catalogada_nao_verificada,https://www.gov.br/trabalho-e-emprego/,Portal MTE,Emprego formal por CNAE. Base para converter pessoal ocupado em homem-hora.
F-009,RAIS,Ministerio do Trabalho e Emprego,1,coeficiente_fisico,todos,BR,anual,publico,catalogada_nao_verificada,https://www.gov.br/trabalho-e-emprego/,Portal MTE,Vinculos e horas contratadas por CNAE.
F-010,PNAD Continua,IBGE,1,indice_macro,todos,BR,trimestral,publico,catalogada_nao_verificada,https://www.ibge.gov.br/estatisticas/sociais/trabalho.html,Portal IBGE,Ocupacao informal na construcao - relevante porque a PAIC cobre apenas empresas formais.
